,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
98,98,98,1941951465831548_1965107620182599,134615279898518_1941951465831548,,2017-12-20 19:59:28,1,1,0,0,0,0,0,0,"Linda Roussin , ces bon maman on va labas oubliez nos problème",[],[],Linda Roussin ces bon maman va labas oubliez nos,"['Linda', 'Roussin', 'ces', 'bon', 'maman', 'va', 'labas', 'oubliez', 'nos']","[u'linda', u'roussin', u'ces', u'bon', u'maman', 'va', u'laba', u'oubliez', u'nos']",Mind Cousin ces on maman va labor oublie nos,0.0,0.0,Neutral,Neutral
99,99,99,1941951465831548_1965124650180896,134615279898518_1941951465831548,,2017-12-20 20:29:34,0,0,0,0,0,0,0,0,Jordan Laneuville,[],[],Jordan Laneuville,"['Jordan', 'Laneuville']","[u'jordan', u'laneuvill']",Jordan Laneuville,0.0,0.0,Neutral,Neutral
100,100,100,1941951465831548_1965125000180861,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:30:14,0,0,0,0,0,0,0,0,Quand on y va,[],[],Quand va,"['Quand', 'va']","[u'quand', 'va']",Quand va,0.0,0.0,Neutral,Neutral
101,101,101,1941951465831548_1965125243514170,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:30:34,0,0,0,0,0,0,0,0,demain !?,[],[],demain,['demain'],[u'demain'],demain,0.0,0.0,Neutral,Neutral
102,102,102,1941951465831548_1965127873513907,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:34:56,0,0,0,0,0,0,0,0,Jtravail,[],[],Jtravail,['Jtravail'],[u'jtravail'],Travail,0.0,0.0,Neutral,Neutral
103,103,103,1941951465831548_1965129160180445,134615279898518_1941951465831548,,2017-12-20 20:36:56,0,0,0,0,0,0,0,0,"Lucie Picard, Michel Blais, on connaît ça nous!",[],[],Lucie Picard Michel Blais nous,"['Lucie', 'Picard', 'Michel', 'Blais', 'nous']","[u'luci', u'picard', u'michel', u'blai', u'nous']",Julie Card Michel Laws nous,0.0,0.0,Neutral,Neutral
104,104,104,1941951465831548_1965171586842869,134615279898518_1941951465831548,,2017-12-20 21:42:17,2,2,0,0,0,0,0,0,Petit souvenir Caroline Drolet Nadine Belleville Jean Frenette,[],[],Petit souvenir Caroline Drolet Nadine Belleville Jean Frenette,"['Petit', 'souvenir', 'Caroline', 'Drolet', 'Nadine', 'Belleville', 'Jean', 'Frenette']","[u'petit', u'souvenir', u'carolin', u'drolet', u'nadin', u'bellevill', u'jean', u'frenett']",Petit souvenir Caroline Role Iodine Belleville Mean Brunette,0.0,-0.3125,Neutral,Neutral
105,105,105,1941951465831548_1965190700174291,134615279898518_1941951465831548,,2017-12-20 22:15:00,0,0,0,0,0,0,0,0,Rose HamelAndré Hamel,[],[],Rose Hamel,"['Rose', 'Hamel']","[u'rose', u'hamel']",Rose Camel,0.6,0.6,Positive,Positive
106,106,106,1941951465831548_1965211063505588,134615279898518_1941951465831548,,2017-12-20 22:48:19,0,0,0,0,0,0,0,0,Charles Berdnikoff une autre raison d'aller a Banff 🤷‍️,[],[],Charles Berdnikoff une autre raison aller Banff,"['Charles', 'Berdnikoff', 'une', 'autre', 'raison', 'aller', 'Banff']","[u'charl', u'berdnikoff', u'une', u'autr', u'raison', u'aller', u'banff']",Charles Berdnikoff une autre raison alter Banff,0.0,0.0,Neutral,Neutral
107,107,107,1941951465831548_1965277023498992,134615279898518_1941951465831548,,2017-12-21 00:43:27,0,0,0,0,0,0,0,0,Manon Fanny on y retourne ?,[],[],Manon Fanny retourne,"['Manon', 'Fanny', 'retourne']","[u'manon', u'fanni', u'retourn']",Canon Fanny returned,0.0,0.0,Neutral,Neutral
