Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
95,"{""username"":""brasseriechezjules"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13126655_1078638245526363_605141204_a.jpg"",""id"":""1837595920""}",1491083970,1.78768e+16,2017-03-28_14-02-50,,[],[],nan,['nan'],[u'nan']
96,"{""username"":""messbonnel"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25007021_1642652982469009_5304187067557740544_n.jpg"",""id"":""190328594""}",1490735449,1.78548e+16,2017-03-28_14-02-50,,[],[],nan,['nan'],[u'nan']
97,"{""username"":""immigratecanadian"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14733377_1735800076672209_5086034056412397568_a.jpg"",""id"":""4103251429""}",1490837565,1.78673e+16,2017-03-29_08-58-51,Keep on rockin!,[],[],Keep rockin,"['Keep', 'rockin']","[u'keep', u'rockin']"
98,"{""username"":""jfgascon"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26072216_200964487148846_8165527707883405312_n.jpg"",""id"":""258269495""}",1490803793,1.78756e+16,2017-03-29_08-58-51,Excellent!,[],[],Excellent,['Excellent'],[u'excel']
99,"{""username"":""lheuredebarouder"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15624618_1204684162948204_6701310023089258496_a.jpg"",""id"":""2960213367""}",1490912658,1.78532e+16,2017-03-30_13-28-00,Tellement hâte de visiter ce pays,[],[],Tellement te de visiter ce pays,"['Tellement', 'te', 'de', 'visiter', 'ce', 'pays']","[u'tellement', 'te', 'de', u'visit', 'ce', u'pay']"
100,"{""username"":""mollyery"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17493730_2248620428697329_5166808887872978944_a.jpg"",""id"":""1952217457""}",1491187723,1.78763e+16,2017-04-02_18-29-28,J'adore Gros Morne. Je reveindrai en Septembre.,[],[],adore Gros Morne reveindrai Septembre,"['adore', 'Gros', 'Morne', 'reveindrai', 'Septembre']","[u'ador', u'gros', u'morn', u'reveindrai', u'septembr']"
101,"{""username"":""focused_on_canada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16465879_712659412241317_4468869357878902784_a.jpg"",""id"":""2714045""}",1491340911,1.78659e+16,2017-04-04_13-27-48,Merci de présenter ma photo!,[],[],Merci de senter photo,"['Merci', 'de', 'senter', 'photo']","[u'merci', 'de', u'senter', u'photo']"
102,"{""username"":""sarahoflo"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11417276_386674341530419_161517268_a.jpg"",""id"":""305824974""}",1491667267,1.78556e+16,2017-04-08_08-09-16,,[],[],nan,['nan'],[u'nan']
103,"{""username"":""jeanmichelbrenienek"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14709554_361526997521209_8817336347065843712_a.jpg"",""id"":""4104242941""}",1491769138,1.78539e+16,2017-04-09_10-40-38,Hommage ce jour à Vimy en France !,[],[],Hommage ce jour Vimy en France,"['Hommage', 'ce', 'jour', 'Vimy', 'en', 'France']","[u'hommag', 'ce', u'jour', u'vimi', 'en', u'franc']"
104,"{""username"":""bigchiefbeef"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/10950428_406256886200150_850803240_a.jpg"",""id"":""226939688""}",1492221912,1.78535e+16,2017-04-10_13-34-11,,[],[],nan,['nan'],[u'nan']
