status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9079455019_10155593990625020,"Charles Dickens’ A Christmas Carol comes to life in modern-day East Vancouver with Bah Humbug! This annual seasonal tradition returns to SFU’s Goldcorp Centre for the Arts for its eighth year, with evening and matinee performances from December 7-16.

This year Bah Humbug! is directed by Jessie-award winning playwright, actor and director James Fagan Tait; while celebrated actor and Juno award-winner blues musician Jim Byrnes returns in the starring role of Ebenezer Scrooge.",Bah Humbug! 2017 - SFU Woodward's - Simon Fraser University,link,http://ht.ly/ALGK30h5pU0,2017-12-07 17:07:55,6,0,10,5,1,0,0,0,0,0
9079455019_10155593448895020,"SFU is saddened to learn of the death of Leonard George, elder of the Tsleil-Wuatuth Nation. Son of the late Chief Dan George, Leonard was himself an accomplished actor and a strong community leader. Our thoughts and our sincerest condolences go out to his family and his friends.",Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155593448895020/?type=3,2017-12-07 13:15:06,58,0,8,35,6,1,0,15,1,0
9079455019_10155593342770020,"SFU’s Active Bystander Network shares some tips on how you can help prevent sexual violence. 

Follow them on Instagram for more tips all December: https://www.instagram.com/activebystan…/",SFU Student Central,video,https://www.facebook.com/SFUstudentcentral/videos/10155294665228719/,2017-12-07 12:20:12,11,0,0,11,0,0,0,0,0,0
9079455019_10155591696470020,The #xosfu team will be at the SFU Surrey campus tomorrow spreading good cheer and giving out free oranges to help you study and power through your exams.,SFU Student Central,photo,https://www.facebook.com/SFUstudentcentral/photos/a.10154069682618719.1073741831.67308358718/10155296978048719/?type=3,2017-12-06 18:44:31,10,0,0,10,0,0,0,0,0,0
9079455019_10155590990405020,"On the anniversary of the 1989 murder of fourteen women at l'École Polytechnique de Montréal, SFU remembers this tragic event and reaffirms our committment to take action against gender-based violence. Read more in President Petter's blog: http://i.sfu.ca/nGlUUJ",National Day of Remembrance calls upon us to take action against gender-based violence - President's Office - Simon Fraser University,link,http://i.sfu.ca/nGlUUJ,2017-12-06 13:00:33,23,0,4,18,0,0,0,5,0,0
9079455019_10155590823200020,A unique 12-week course held at SFU Surrey fosters grassroots community building. http://ow.ly/zGrJ30h2wmE,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155590823200020/?type=3,2017-12-06 11:35:08,11,0,1,11,0,0,0,0,0,0
9079455019_10155589168485020,The #xosfu team is at SFU Vancouver today with some good cheer and vitamin C to help with your exam prep. Watch for them at all three campuses this week!,,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155589168025020/?type=3,2017-12-05 18:32:09,18,0,2,16,2,0,0,0,0,0
9079455019_10155588576385020,"Check out those mountains! Sunshine is back on campus!

PC: dylanhoemsen on IG.",Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155588576385020/?type=3,2017-12-05 14:58:46,151,1,3,137,14,0,0,0,0,0
9079455019_10155588223025020,"SFU student Larissa Chen and colleague Delara Tabiri co-founded Böues, a beauty company specializing in locally-sources, organic products.

Check out the Böues Bar at the SFU Spirit Shop!",Student organic beauty company takes top honour in #MadeBySFU contest - SFU News - Simon Fraser University,link,https://www.sfu.ca/sfunews/stories/2017/12/student-organic-beauty-company-takes-top-honour-in--madebysfu-co.html,2017-12-05 12:15:12,75,0,3,73,2,0,0,0,0,0
9079455019_10155586270880020,"SFU Faculty of Arts and Social Sciences (FASS) is pleased to announce the appointment of Ted Wilson as the new coordinator in the Interim Aboriginal University Preparation Program (IAUPP).

FASS is committed to ensure the IAUPP will open pathways for Indigenous students to all SFU disciplines.","Ted Wilson, MEd, is the new coordinator for the Interim Aboriginal University Preparation Program - SFU News - Simon Fraser University",link,http://ht.ly/4Wfx30h0rnw,2017-12-04 18:00:12,16,0,0,16,0,0,0,0,0,0
9079455019_10155585841370020,"SFU student Pu Yan receives Schwarzman Scholarship: http://ht.ly/FcAH30h0qkg

Congratulations!",,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155585840960020/?type=3,2017-12-04 16:06:00,34,0,0,32,1,1,0,0,0,0
9079455019_10155585816775020,"""Every city wanted a connection with the continental freeway system …  I mean, why wouldn't you?""

SFU's Gordon Price comments on the history of Vancouver's roadways.",How nixing a downtown freeway 50 years ago made Vancouver one of the world's most liveable cities,link,https://ca.news.yahoo.com/nixing-downtown-freeway-50-years-170050246.html,2017-12-04 14:39:13,17,4,4,15,1,0,1,0,0,0
9079455019_10155585409070020,"Today is the last day of classes for the fall 2017 semester. Congratulations! 

Exams are Dec. 6-17 and you can check the room locations for yours here: http://at.sfu.ca/WDtjNp",Simon Fraser University's cover photo,photo,https://www.facebook.com/simonfraseruniversity/photos/a.10150692980760020.447589.9079455019/10155585408805020/?type=3,2017-12-04 11:11:05,41,0,2,40,1,0,0,0,0,0
9079455019_10155578133405020,Stay organized and engaged using SFU's App Suite on your iOS or Android device. Download: http://ow.ly/A3OW30gXBKs,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155578133405020/?type=3,2017-12-01 19:00:22,4,0,0,4,0,0,0,0,0,0
9079455019_10155577819045020,Love this shot taken from Saywell Hall at the Burnaby Campus.  📷: @mspaparazzi.sb on Instagram,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155577819045020/?type=3,2017-12-01 16:52:12,273,8,2,246,22,5,0,0,0,0
9079455019_10155577253500020,Thinking about living in residence? Apply now for Fall 2018 and check out this video from SFU Residence & Housing.,SFU Residence & Housing,video,https://www.facebook.com/SFUResidences/videos/1797915340218809/,2017-12-01 12:30:32,20,7,0,17,3,0,0,0,0,0
