,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
42,566325673547435_793121450867855,"Transports accessibles pour tous, module 1: Introduction",video,http://ow.ly/u8M4307vd8s,2017-11-14 12:15:17,0,0,0,0,0,0,0,0,0,0,"Nous collaborons avec les transporteurs et les eloitants de terminal pour assurer l'application et le maintien de mesures relatives au transport accessible dans le réseau de transport fédéral. Nous avons créé un ensemble de vidéos intitulé Transports accessibles pour tous. Ce sont des outils de formation qui aideront le personnel des transporteurs à offrir des services accessibles aux personnes ayant une déficience. Il y a au total six vidéos traitant de sujets variés, qui vont de la détermination des besoins à la fourniture d'aides à la mobilité de remplacement aux voyageurs > é","['#a11y', '#Accessibilit']",['http://ow.ly/u8M4307vd8s']
43,566325673547435_792668464246487,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/792668464246487/?type=3,2017-11-13 12:00:30,0,0,0,0,0,0,0,0,0,0,"Vous vous demandez quelles sont les étapes typiques du processus d'actes de procédure lié aux demandes de licence de cabotage? Ce processus inclut la présentation d’au moins une demande et peut inclure également une offre, une réponse, une réplique, une présentation d’une personne intéressée et une réplique à cette présentation. Pour en savoir plus sur le processus d'actes de procédure, consultez la partie de nos lignes directrices :",[],['http://ow.ly/bTAa30aDEoT']
44,566325673547435_791297534383580,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/791297534383580/?type=3,2017-11-10 10:00:25,0,0,0,0,0,0,0,0,0,0,"> Souscrivez une assurance voyage Souscrivez une assurance pour vous protéger en cas de perte, de retard, de dommages ou de vol de vos bagages, d'annulation ou d'interruption de votre voyage, de blessures corporelles ou de décès, ainsi qu'une assurance médicale adéquate. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
45,566325673547435_790920387754628,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/790920387754628/?type=3,2017-11-09 13:00:22,1,0,1,0,1,0,0,0,0,0,"La transparence des communications est un aspect important du processus d'actes de procédure lié aux demandes de licence de cabotage. Pour que ce processus se déroule bien, toutes les parties doivent fournir, à toutes les autres parties et dans les délais fixés, une copie conforme de toute correspondance échangée concernant les mesures prises à chaque étape. Pour en savoir plus sur notre processus d'actes de procédure, consultez la partie de nos lignes directrices :",[],['http://ow.ly/bTAa30aDEoT']
46,566325673547435_790545604458773,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/790545604458773/?type=3,2017-11-08 16:00:18,0,0,0,0,0,0,0,0,0,0,"Vous pouvez accrocher vos gants. Nous avons d’autres moyens de régler les différends. À titre de tribunal, nous pouvons régler les différends comme un tribunal. Mais nous disposons d’autres outils de règlement des différends, dont la facilitation et la médiation. Pour plusieurs différends, nous pouvons réunir les personnes au moyen d’un processus de résolution informel pour régler une question facilement et à la satisfaction des parties. Pour en apprendre davantage, visitez",[],[]
47,566325673547435_790165747830092,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/790165747830092/?type=3,2017-11-07 19:00:28,0,0,0,0,0,0,0,0,0,0,Les chemins de fer ont joué un rôle important dans la création du Canada > Journée nationale du chemin de fer! >,[],['http://ow.ly/35ct30dbqMv']
48,566325673547435_790098564503477,Arbitrage : arbitrage ferroviaire | Office des transports du Canada,link,http://ow.ly/dzIs30dr4BK,2017-11-07 15:01:00,0,0,0,0,0,0,0,0,0,0,"Pour en savoir plus sur les services d'arbitrage de l'Office, allez >","['#ferroviaire', '#AgCan']",['http://ow.ly/dzIs30dr4BK']
49,566325673547435_788301541349846,Que faire si vous avez un problème avec votre ligne aérienne,video,https://www.facebook.com/OfficeDesTransportsDuCanada/videos/788301541349846/,2017-11-07 13:00:00,0,0,0,0,0,0,0,0,0,0,Que faire si vous avez un problème avec votre ligne aérienne,[],[]
50,566325673547435_785380661641934,Il arrive que les vols ne se déroulent pas comme prévu,video,https://www.facebook.com/OfficeDesTransportsDuCanada/videos/785380661641934/,2017-11-07 12:00:00,1,0,1,1,0,0,0,0,0,0,"Enregistrement, retards, annulations, refus d'embarquement sur votre vol? Ce que vous devez savoir >",['#MardiVoyage'],['http://ow.ly/rDFc3061bYT']
51,566325673547435_790010141178986,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/790010141178986/?type=3,2017-11-07 10:30:26,0,0,0,0,0,0,0,0,0,0,"Dans ce vaste pays, l'eédition de marchandises se fait plus souvent qu'autrement par chemin de fer ée nationale du chemin de fer",['#Journ'],[]
52,566325673547435_789579987888668,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/789579987888668/?type=3,2017-11-06 12:00:31,1,0,0,1,0,0,0,0,0,0,"Sentez-vous que votre vie a déraillé? Toutes crises existentielles mises à part, les plaintes et différends les plus fréquents liés au transport ferroviaire auxquels nous pouvons quelque chose sont : - le bruit et les vibrations; - les obstacles liés à une déficience ou à un problème de santé; - le niveau de service; - les ententes sur les niveaux de service ferroviaire; - l’interconnexion; - les franchissements routiers; - la cession et l'abandon de ligne ferroviaire. Pour obtenir plus d’information sur les plaintes et différends en matière de transport ferroviaire, consultez",[],['http://ow.ly/XYZM30gkQ9g']
53,566325673547435_789093017937365,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/789093017937365/?type=3,2017-11-05 12:00:20,0,0,0,0,0,0,0,0,0,0,"Nous nous chargeons de promouvoir le respect des lois et règlements canadiens auprès des fournisseurs de services aériens. Nos agents verbalisateurs effectuent des inspections régulières et des enquêtes ciblées pour vérifier, promouvoir et assurer la conformité. Voulez-vous savoir comment nous nous en tirons? Voyez nos plus récentes statistiques :",['#a1c'],['https://www.otc-cta.gc.ca/fra/statistiques-2016-2107#a']
