,Unnamed: 0,Unnamed: 0.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
40,40,40,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478618012,1.78654e+16,2016-11-08_07-13-04,,"['#Throwback', '#TBT', '#ThrowbackTuesday', '#BiologistLife', '#Biologist', '#LastMountainLake', '#Saskatchewan', '#ExploreSask', '#NationalWildlifeArea', '#Habitat', '#PrescribedFire', '#NoFilter', '#Fire', '#Wildlife', '#ConservationPhotography', '#WildlifePhotography', '#InstaWild']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
41,41,41,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478882617,1.78442e+16,2016-11-09_08-35-13,,['#supersnazzy'],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
42,42,42,"{""username"":""clmsanderson"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20184472_1710377655938753_1160665107303235584_a.jpg"",""id"":""616185445""}",1478827803,1.78646e+16,2016-11-09_08-35-13,Hi Henry!,[],[],Hi Henry,"['Hi', 'Henry']","['hi', u'henri']",I Henry,0.0,0.0,Neutral,Neutral
43,43,43,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478796846,1.78442e+16,2016-11-09_08-35-13,المغرب مراكش,"['#', '#']",[],,[],[],,0.0,0.0,Neutral,Neutral
44,44,44,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478798862,1.78442e+16,2016-11-10_09-27-12,,"['#WorldScienceDay', '#Science', '#InstaScience', '#ScientistLife', '#Scientist', '#Scientists', '#Laboratory', '#ScienceIsFun', '#OnABoat', '#CanEnvironment', '#PhotoOfTheDay', '#BurlOnt', '#Burlington', '#BoatLife', '#FieldWork', '#CanadianCoastGouard', '#Limnology', '#GreatLakes']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
45,45,45,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478799088,1.78443e+16,2016-11-10_09-28-34,,"['#WorldScienceDay', '#Science', '#InstaScience', '#ScientistLife', '#Scientist', '#Scientists', '#Laboratory', '#ScienceIsFun', '#OnABoat', '#CanEnvironment', '#PhotoOfTheDay', '#BurlOnt', '#Burlington', '#BoatLife', '#FieldWork', '#CanadianCoastGouard', '#Limnology', '#GreatLakes']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
46,46,46,"{""username"":""signordal"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12905077_1685397655054239_973691598_a.jpg"",""id"":""1645227289""}",1478952778,1.78655e+16,2016-11-11_09-17-23,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
47,47,47,"{""username"":""hommie789"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11821737_506052616215913_888934121_a.jpg"",""id"":""145225736""}",1478894800,1.78593e+16,2016-11-11_09-17-23,"Climate -friendly? That only is applicable if you know the source of the electricity and the plant making the bus, also battery manufacturing is a HUGE problem for the environment but as long as you think your doing all you can for the environment by riding an electric bus good for you.",[],[],Climate friendly applicable know source electricity plant making bus also battery manufacturing HUGE problem environment long think environment riding electric bus good,"['Climate', 'friendly', 'applicable', 'know', 'source', 'electricity', 'plant', 'making', 'bus', 'also', 'battery', 'manufacturing', 'HUGE', 'problem', 'environment', 'long', 'think', 'environment', 'riding', 'electric', 'bus', 'good']","[u'climat', u'friend', u'applic', u'know', u'sourc', u'electr', u'plant', u'make', u'bus', u'also', u'batteri', u'manufactur', u'huge', u'problem', u'environ', u'long', u'think', u'environ', u'ride', u'electr', u'bus', u'good']",Climate friendly applicable know source electricity plant making bus also battery manufacturing HUGE problem environment long think environment riding electric bus good,0.35625,0.35625,Positive,Positive
48,48,48,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478884868,1.78444e+16,2016-11-11_09-17-23,المغرب مراكش,"['#', '#', '#ClimateChange', '#COP22CAN', '#BehindTheScenes']",[],,[],[],,0.0,0.0,Neutral,Neutral
49,49,49,"{""username"":""alexarosecarlin"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25021617_1928698607446071_7020882562306277376_n.jpg"",""id"":""749079278""}",1479138176,1.78661e+16,2016-11-12_07-59-46,Thank you for being YOU!,[],[],Thank,['Thank'],[u'thank'],Thank,0.0,0.0,Neutral,Neutral
